"ano_mes_dia","receita_gerada_dia","receita_acumulada_ano"
"2017-08-21",25097.31,3108240.86
"2017-08-22",16453.33,3124694.19
"2017-08-23",39269.27,3163963.46
"2017-08-24",14097.30,3178060.76
"2017-08-25",15563.45,3193624.21
"2017-08-26",10168.38,3203792.59
"2017-08-27",13879.74,3217672.33
"2017-08-28",23166.82,3240839.15
"2017-08-29",32654.27,3273493.42
"2017-08-30",30551.75,3304045.17
"2017-08-31",21213.67,3325258.84
"2017-09-01",30384.19,3355643.03
"2017-09-02",19552.95,3375195.98
"2017-09-03",29632.20,3404828.18
"2017-09-04",25229.19,3430057.37
"2017-09-05",22951.91,3453009.28
"2017-09-06",23968.06,3476977.34
"2017-09-07",17579.13,3494556.47
"2017-09-08",13743.62,3508300.09
"2017-09-09",16723.03,3525023.12
"2017-09-10",17941.59,3542964.71
"2017-09-11",24389.56,3567354.27
"2017-09-12",30612.00,3597966.27
"2017-09-13",28654.99,3626621.26
"2017-09-14",24981.68,3651602.94
"2017-09-15",18665.82,3670268.76
"2017-09-16",21422.75,3691691.51
"2017-09-17",20560.07,3712251.58
"2017-09-18",32030.50,3744282.08
"2017-09-19",22434.97,3766717.05
"2017-09-20",22863.75,3789580.80
"2017-09-21",20567.49,3810148.29
"2017-09-22",18027.55,3828175.84
"2017-09-23",10905.38,3839081.22
"2017-09-24",14466.02,3853547.24
"2017-09-25",18968.98,3872516.22
"2017-09-26",22233.40,3894749.62
"2017-09-27",24252.49,3919002.11
"2017-09-28",29043.41,3948045.52
"2017-09-29",81987.29,4030032.81
"2017-09-30",12788.11,4042820.92
"2017-10-01",19801.27,4062622.19
"2017-10-02",29984.70,4092606.89
"2017-10-03",26355.03,4118961.92
"2017-10-04",22212.31,4141174.23
"2017-10-05",35897.73,4177071.96
"2017-10-06",18857.60,4195929.56
"2017-10-07",17298.63,4213228.19
"2017-10-08",16125.04,4229353.23
"2017-10-09",31489.12,4260842.35
"2017-10-10",28006.69,4288849.04
"2017-10-11",24343.93,4313192.97
"2017-10-12",20087.84,4333280.81
"2017-10-13",25103.80,4358384.61
"2017-10-14",13712.31,4372096.92
"2017-10-15",19062.22,4391159.14
"2017-10-16",30339.13,4421498.27
"2017-10-17",38888.49,4460386.76
"2017-10-18",31095.66,4491482.42
"2017-10-19",22951.47,4514433.89
"2017-10-20",18380.17,4532814.06
"2017-10-21",14310.70,4547124.76
"2017-10-22",20517.82,4567642.58
"2017-10-23",25358.71,4593001.29
"2017-10-24",24426.29,4617427.58
"2017-10-25",19494.26,4636921.84
"2017-10-26",25587.16,4662509.00
"2017-10-27",24340.74,4686849.74
"2017-10-28",17078.23,4703927.97
"2017-10-29",18719.15,4722647.12
"2017-10-30",23539.21,4746186.33
"2017-10-31",28374.05,4774560.38
"2017-11-01",21756.55,4796316.93
"2017-11-02",22838.69,4819155.62
"2017-11-03",26409.76,4845565.38
"2017-11-04",25151.90,4870717.28
"2017-11-05",17079.72,4887797.00
"2017-11-06",30899.40,4918696.40
"2017-11-07",23225.41,4941921.81
"2017-11-08",22545.89,4964467.70
"2017-11-09",27990.34,4992458.04
"2017-11-10",23152.68,5015610.72
"2017-11-11",25520.40,5041131.12
"2017-11-12",23118.56,5064249.68
"2017-11-13",26469.56,5090719.24
"2017-11-14",28669.32,5119388.56
"2017-11-15",25703.15,5145091.71
"2017-11-16",30739.00,5175830.71
"2017-11-17",33987.65,5209818.36
"2017-11-18",25539.15,5235357.51
"2017-11-19",19276.58,5254634.09
"2017-11-20",48328.37,5302962.46
"2017-11-21",38671.08,5341633.54
"2017-11-22",25416.01,5367049.55
"2017-11-23",53071.51,5420121.06
"2017-11-24",178076.22,5598197.28
"2017-11-25",66575.68,5664772.96
"2017-11-26",50331.24,5715104.20
"2017-11-27",53995.07,5769099.27
"2017-11-28",50734.89,5819834.16
"2017-11-29",42391.57,5862225.73
"2017-11-30",33041.11,5895266.84
"2017-12-01",42416.86,5937683.70
"2017-12-02",30006.94,5967690.64
"2017-12-03",31928.39,5999619.03
"2017-12-04",48055.05,6047674.08
"2017-12-05",37488.81,6085162.89
"2017-12-06",41909.00,6127071.89
"2017-12-07",31504.76,6158576.65
"2017-12-08",29749.74,6188326.39
"2017-12-09",19266.25,6207592.64
"2017-12-10",24954.41,6232547.05
"2017-12-11",33749.31,6266296.36
"2017-12-12",35965.21,6302261.57
"2017-12-13",35914.06,6338175.63
"2017-12-14",25182.37,6363358.00
"2017-12-15",29610.65,6392968.65
"2017-12-16",21322.34,6414290.99
"2017-12-17",20438.10,6434729.09
"2017-12-18",30385.84,6465114.93
"2017-12-19",22087.43,6487202.36
"2017-12-20",29647.51,6516849.87
