Lastname,Name,Team,Position,Games Played,Goals,Missed,Field Goals,Penalty Goals,Shooting Accuracy,Assists,Technical Faults,Steals,Blocks,Yellow Cards,2 Min Exclusion,Red Cards,Blue Cards,Season,Tier
Majdzinski,Maciej,BHC,,12,20,18,20,0,0.5263,12.0,10,2,1,5,4,1,0,18/19,A
Vujin,Marko,THW,RB,16,19,10,8,11,0.6552,4.0,3,0,0,0,0,0,0,18/19,A
Nielsen,Jesper,RNL,P,18,19,0,19,0,1.0,2.0,3,1,4,8,5,0,0,18/19,A
Krzikalla,Lucas,LEI,RW,25,19,3,19,0,0.86,,2,2,0,1,0,0,0,18/19,A
Weissgerber,Lars,WET,RW,24,19,7,17,2,0.7308,1.0,0,1,0,1,1,0,0,18/19,A
Reissky,Christoph,BER,RB,28,19,18,19,0,0.51,,10,1,0,1,5,0,0,18/19,A
Hubscher,Robin,TBV,LW,34,19,15,17,2,0.5588000000000001,3.0,5,5,0,0,1,0,0,18/19,A
Atman,Pavel,HAN,,13,19,19,19,0,0.5,,10,1,0,1,4,0,0,18/19,A
Herzig,Fynn,GUM,L_B,23,19,10,19,0,0.6552,3.0,5,0,3,2,2,0,0,18/19,A
Becker,Alexander,GUM,P,34,18,10,18,0,0.6429,9.0,8,4,24,12,18,1,0,18/19,A
Vukovic,Drago,GUM,CB,12,18,19,18,0,0.4865,10.0,9,2,16,4,5,0,0,18/19,A
Mavers,Veit,HAN,CB,25,18,14,7,11,0.5625,4.0,5,0,0,0,1,0,0,18/19,A
Schmidt,Erik,BER,P,33,17,6,17,0,0.7391,4.0,11,4,15,9,14,1,0,18/19,A
Muller,Philipp,MTM,Left Back,34,16,17,16,0,0.4847999999999999,13.0,13,5,16,12,23,2,0,18/19,A
Theilinger,Nicolai,HCE,RB,17,15,9,15,0,0.625,15.0,13,1,1,1,5,0,0,18/19,A
Hideg,Daniel,LUD,LB,26,15,20,15,0,0.4286,6.0,7,0,1,0,3,0,0,18/19,A
Patrail,Mait,HAN,LB,5,14,6,14,0,0.7,,2,2,2,0,3,0,0,18/19,A
Bettin,Maximilian-Leon,BHC,LB,26,13,23,13,0,0.3611,4.0,6,4,1,2,2,0,0,18/19,A
Fraatz,Yannick,BHC,RW,29,13.0,3,13,0,0.81,2.0,999,2,0,0,1,0,0,18/19,A
Trost,Max,SGB,LB,14,13,14,13,0,0.48,4.0,0,2,2,2,5,0,0,18/19,A
Ronningen,Vetle,SGB,LB,28,13,18,13,0,0.42,9.0,11,8,9,16,23,2,0,18/19,A
Murawski,Martin,HCE,,32,11,3,11,0,0.7857,3.0,1,0,0,0,0,0,0,18/19,A
Ritterbach,Joscha,FAG,LW,31,11,8,11,0,0.5789,1.0,0,1,0,2,6,0,0,18/19,A
Struck,Kevin,BER,LB,21,11,4,11,0,0.7333,3.0,0,1,1,1,2,1,0,18/19,A
Gojun,Jakov,BER,LB,33,11,1,11,0,0.9167,6.0,3,1,22,23,25,0,0,18/19,A
Feise,Hannes,HAN,LW,25,11,9,11,0,0.55,1.0,5,1,2,8,2,0,0,18/19,A
Rothlisberger,Samuel,TVB,P,34,11,3,11,0,0.79,8.0,1,6,17,13,15,0,0,18/19,A
Buchner,Vincent,HAN,LW,14,11.0,7,10,1,0.6111,1.0,0,2,0,2,1,0,0,18/19,A
Sorensen,Tim,FAG,Right Wing,15,11,6,11,0,0.65,3.0,2,0,0,1,0,0,0,18/19,A
Lux,Maximilian,WET,RW,17,10,10,10,0,0.5,1.0,0,1,1,0,1,0,0,18/19,A
Vlahovic,Nikola,SGB,,26,10,12,10,0,1.57,8.0,4,0,2,2,8,0,0,18/19,A
Matthes,Tim,BER,LW,16,10.0,3,10,0,0.7692,0.0,1,2,0,0,0,0,0,18/19,A
Villgrattner,Luis,GUM,CB,14,10,12,10,0,0.4545,3.0,5,1,0,0,1,0,0,18/19,A
Jallouz,Wael,BER,LB,14,8,22,8,0,1.57,3.0,7,0,0,0,1,0,0,18/19,A
Damgaard Espersen,Allan,FAG,CB,30,8,8,8,0,0.5,9.0,4,2,2,2,4,0,0,18/19,A
Remmlinger,Jan,LUD,LB ,12,8,10,8,0,0.4443999999999999,10.0,999,1,0,0,1,0,0,18/19,A
Engelhardt,Alexander,TBV,P,19,8,2,8,0,0.8,0.0,1,1,0,0,1,0,0,18/19,A
Gliese,Lennart,BER,RB,7,8,10,8,0,0.4443999999999999,2.0,4,3,0,2,0,0,0,18/19,A
Mandalinic,Stipe,BER,LB,7,7,9,5,2,0.4375,7.0,1,0,0,0,0,0,0,18/19,A
Oehler,Michael,SGB,LB,31,6,0,6,0,1.0,2.0,1,1,4,2,11,0,0,18/19,A
Mertens,Lukas,SCM,LW,15,6,1,5,1,0.86,0.0,0,0,0,0,0,0,0,18/19,A
Weck,Alexander,BHC,LB,11,6,7,6,0,0.46,3.0,0,3,1,2,2,0,0,18/19,A
Putera,Milos,LEI,GK,34,5,1,5,0,0.83,7.0,2,0,0,0,0,0,0,18/19,A
Firnhaber,Sebastian,THW,P,29,5,1,5,0,0.83,1.0,3,0,2,0,0,0,0,18/19,A
Molina,Carlos,SCM,P,28,5,1,5,0,1.57,1.0,1,2,3,3,4,0,0,18/19,A
Hangstein,Fynn,TBV,CB,15,5,9,5,0,0.36,2.0,2,0,0,0,0,0,0,18/19,A
Ohler,Max,TVB,LW,7,5,0,4,1,1.0,0.0,0,0,0,0,1,0,0,18/19,A
Hanne,Martin,HAN,LB,3,5,2,5,0,0.7143,0.0,0,0,0,0,1,0,0,18/19,A
Kneer,Stefan,WET,LB,26,4,5,4,0,0.4443999999999999,12.0,7,3,3,9,15,2,0,18/19,A
Landin,Niklas,THW,GK,34,4,2,4,0,0.6667000000000001,9.0,1,3,0,1,0,0,0,18/19,A
Remke,Gregor,LEI,RB,14,4,3,4,0,0.5714,2.0,999,0,0,0,0,0,0,18/19,A
Kister,Lukas,GWD,CB,-29,4,8,4,0,0.33,4.0,1,4,1,5,1,0,0,18/19,A
Rudiger,Tim,WET,rw,1,4,1,4,0,0.8,0.0,0,0,0,0,0,0,0,18/19,A
Krone,Jannes,HAN,RW,20,4,3,4,0,0.57,0.0,1,1,0,1,0,0,0,18/19,A
Christensen,Espen,GWD,GK,30,4,4,4,0,0.5,8.0,1,0,0,1,1,0,0,18/19,A
De la Pena,Juan,SCM,CB,19,4,2,3,1,0.6667000000000001,3.0,0,1,0,0,0,0,0,18/19,A
Katsigiannis,Nikolas,HCE,GK,34,3,4,3,0,0.43,6.0,5,0,1,0,0,0,0,18/19,A
Wolff,Andreas,THW,GK,34,3,1,3,0,0.75,6.0,1,0,0,0,0,0,0,18/19,A
Stutzke,Lukas,BHC,lb,5,3,3,3,0,0.5,0.0,0,0,3,0,0,0,0,18/19,A
Klimpke,Till,WET,GK,34,3,1,3,0,0.75,10.0,2,1,0,1,1,0,0,18/19,A
Schreiber,Hendrik,WET,LB,31,3.0,8,3,0,0.27,,4,0,0,0,0,0,0,18/19,A
Thiele,Joshua,HAN,,33,3,3,3,0,0.5,0.0,999,3,2,3,4,0,0,18/19,A
Kristjansson,Gisli Thorgeir,THW,CB,10,3,0,3,0,1.0,1.0,1,0,0,0,0,0,0,18/19,A
Dayan,Yonatan,GUM,CB,27,3,3,3,0,0.5,2.0,5,0,0,1,0,0,0,18/19,A
Rose,Julius,TBV,CB,9,3,1,3,0,0.75,0.0,0,0,0,1,0,0,0,18/19,A
Busch,Pierre,GUM,RW,29,3,3,3,0,0.5,0.0,999,0,0,0,2,0,0,18/19,A
Schalles,Maxim,TBV,RW,19,3.0,0,2,1,1.0,0.0,0,0,0,0,0,0,0,18/19,A
Puhle,Matthias,GUM ,GK,33,2,0,2,0,1.0,4.0,2,0,0,0,0,0,0,18/19,A
Villadsen,Rene,LEI,,31,2,1,2,0,0.67,,0,0,0,0,0,0,0,18/19,A
Hanemann,Stefan,LUD,GK,34,2,0,2,0,1.0,5.0,999,0,0,0,0,0,0,18/19,A
Roscheck,Bastian,LEI,P,34,2,4,2,0,0.33,2.0,2,7,15,19,29,1,0,18/19,A
Baumgartel,Steve,LEI,RB,6,2.0,4,2,0,0.33,3.0,0,0,1,1,0,0,0,18/19,A
Simic,Nebojsa,MTM ,,34,2,1,2,0,0.67,14.0,5,0,0,0,0,0,0,18/19,A
Ebner,Domenico,SGB ,GK,34,2.0,1,2,0,0.67,8.0,0,0,0,1,0,0,0,18/19,A
Kluge,Justus Max,SCM,LW,24,2,1,2,0,0.67,1.0,2,0,0,0,0,0,0,18/19,A
Nowatzki,Maximilian,GWD,RB,18,2,1,2,0,0.6667000000000001,0.0,0,0,0,0,0,0,0,18/19,A
Schwarz,Maximilian,SGB,RB,6,2,1,2,0,0.67,2.0,2,0,0,0,2,0,0,18/19,A
Abutovic,Ilija,RNL,LB ,32,2.0,0,2,0,1.0,3.0,2,9,26,19,23,1,0,18/19,A
Lesjak,Urban,HAN,GK,-34,2,2,2,0,0.5,9.0,1,1,0,0,1,0,0,18/19,A
Waldgenbach,Torben,WET,LB,8,2,5,2,0,0.2857,2.0,0,0,0,0,0,0,0,18/19,A
Stuber,Jonas,GUM,P,13,2,3,2,0,0.4,0.0,0,0,0,0,0,0,0,18/19,A
Goller,Axel,FAG,RW,11,2.0,1,2,0,0.6667000000000001,0.0,1,0,0,0,0,0,0,18/19,A
Bialowas,Yannik,GUM,,10,2,3,2,0,0.4,0.0,0,1,0,0,0,0,0,18/19,A
Heinevetter,Silvio,BER,,34,1,1,1,0,0.5,13.0,2,1,0,1,2,0,0,18/19,A
Ziemer,Martin,HAN,,33,1,1,1,0,0.5,6.0,3,2,0,0,0,0,0,18/19,A
Quenstedt,Dario,SCM ,GK,33, 1 ,0,1,0,1.0,3.0,0,0,0,0,0,0,0,18/19,A
Karlsson,Tobias,SGF,P,33,1,0,1,0,1.0,5.0,0,11,40,22,19,0,0,18/19,A
Lichtlein,Carsten,GUM,GK,34,1,0,1,0,1.0,2.0,1,0,0,2,1,0,0,18/19,A
Palicka,Andreas,RNL,GK,30,1,3,1,0,1.57,19.0,1,0,0,0,0,0,0,18/19,A
Maier,Jonas,TVB,GK,33,1,0,1,0,1.0,2.0,0,1,1,0,0,0,0,18/19,A
Appelgren,Mikael,RNL,GK,33,1,0,1,0,1.0,8.0,1,0,0,0,0,0,0,18/19,A
Rudeck,Christopher,BHC,GK,34,1,1,1,0,0.5,9.0,0,0,0,0,1,0,0,18/19,A
Green,Jannick,SCM,,34,1,4,1,0,0.2,13.0,1,0,0,0,0,0,0,18/19,A
Hellmann,Jonas,LEI,RW_,11,1,0,1,0,1.0,0.0,1,0,0,0,0,0,0,18/19,A
Wyszomirski,Piotr,TBV,GK,29, 1 ,0,1,0,1.0,1.0,0,0,0,0,0,0,0,18/19,A
Johannesson,Peter,TBV,GK,34,1,1,1,0,0.5,9.0,1,0,0,0,0,0,0,18/19,A
Backs,Fin,MTM ,LW,5,1,1,1,0,0.5,0.0,0,0,0,0,0,0,0,18/19,A
Burmeister,Florian,TVB,lb,11,1,4,1,0,0.2,0.0,0,0,0,0,0,0,0,18/19,A
Ivanisevic,Tibor,WET,GK,19,1.0,2,1,0,0.3333,3.0,0,1,0,0,0,0,0,18/19,A
Roller,Lars,RNL,P,4,1,1,1,0,0.5,0.0,0,0,0,0,0,0,0,18/19,A
Kessler,Maximilian,RNL,LW,4,1,1,1,0,0.5,0.0,0,0,0,0,0,0,0,18/19,A
Xhafolli,Albin,GUM,,5,1,1,1,0,0.5,0.0,0,0,0,0,0,0,0,18/19,A
Bransche,Hannes,SCM,,7,1,0,1,0,1.0,0.0,0,0,0,0,0,0,0,18/19,A
Danowski,Niklas,SCM,P,1,1,0,0,1,1.0,0.0,0,0,0,0,0,0,0,18/19,A
Matzken,Torben,BER,,6,1,0,1,0,1.0,3.0,0,0,0,0,0,0,0,18/19,A
Nolting,Malte,GWD,GK,2,1,0,1,0,1.0,0.0,1,0,0,0,0,0,0,18/19,A
Gertges,Jonas,GWD ,,1,1,1,1,0,0.5,0.0,0,0,0,0,0,0,0,18/19,A
Szeles,Akos,LEI,RB,1,1,0,1,0,1.0,0.0,0,0,1,0,0,0,0,18/19,A
Hoffmanns,Jakob,HCE,LB,4,1,2,1,0,0.3333,0.0,2,0,0,0,0,0,0,18/19,A
Poser,Jonas,HCE,RW,9, 1 ,1,1,0,0.5,0.0,0,0,0,0,0,0,0,18/19,A
Stochl,Petr,BER,GK,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Vortmann,Jens,LEI,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Marinovic,Nikola,WET,GK,-13,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,18/19,A
Bitter,Johannes,TVB,GK,34,0,0,0,0,0.0,12.0,3,0,0,1,1,0,0,18/19,A
Dissinger,Christian,THW,,5,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,18/19,A
Semisch,Malte,BER,,26,0,0,0,0,0.0,2.0,0,1,0,0,0,0,0,18/19,A
Rutschmann,Bastian,BHC,GK,30,0,0,0,0,0.0,4.0,0,0,0,0,0,0,0,18/19,A
Rebmann,Daniel,FAG,GK,34,0,0,0,0,1.57,8.0,1,1,0,0,0,0,0,18/19,A
Prost,Primoz,FAG,GK,34,0,0,0,0,0.0,8.0,999,1,0,0,0,0,0,18/19,A
Heib,Alexander,TVB,CB,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Sjostrand,Johan,MTM,GK,34,0.0,0,0,0,0.0,5.0,2,0,0,0,0,0,0,18/19,A
Sonne-Hansen,Kim,GWD,,34,0,0,0,0,0.0,6.0,999,0,0,0,0,0,0,18/19,A
Asanin,Matej,LUD,GK,13,0,0,0,0,0.0,1.0,1,0,0,0,0,0,0,18/19,A
Skof,Gorazd,HCE,GK,33,0,0,0,0,0.0,4.0,0,0,0,0,0,1,0,18/19,A
Oehlrich,Thomas,LEI,P,5, 0 ,0,0,0,0.0,0.0,0,0,0,1,1,1,0,18/19,A
Dohler,Phil,SCM,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Guretzky,Jan,LEI,GK,3,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,18/19,A
Muller,Jurgen,SGB,GK,34,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,18/19,A
Kienzle,Martin,TVB,LW,3,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,18/19,A
Porath,Julius Franz,BER,RW,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Paske,Maurice,GWD,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Genz,Fredrik,BER,GK,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Walz,Sebastian,HCE,P,-1,0,0,0,0,0.0,,0,0,0,0,0,0,0,18/19,A
Lenz,Mathias,LUD,GK,21,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,18/19,A
Donker,Malte,HAN,,9,0,0,0,0,0.0,0.0,1,0,1,0,1,0,0,18/19,A
Hassferter,Michael,HCE,GK,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Buric,Benjamin,SGF,GK,34,0,0,0,0,0.0,10.0,3,0,0,1,0,0,0,18/19,A
Hasenforther,Lasse,GUM,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Gorpishin,Sergej,HCE ,P,14,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Lehmann,Nick,TVB,GK,5,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Richtzenhain,Justus Nicolas,GWD,P,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Dell,Jonas,BHC,LB,1,0.0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,18/19,A
Zecher,Finn,TBV,,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Weisser,Felix,FAG,LW,5, 0 ,0,0,0,1.57,0.0,0,0,0,0,0,0,0,18/19,A
Ganz,Tim,RNL,RW,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Sittrup Bergerud,Torbjorn,SGF,GK,32, 0 ,0,0,0,0.0,5.0,999,1,0,0,0,0,0,18/19,A
Haspinger,Nick,TVB,RB,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Kurch,Justin,SCM,P,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Urios Gonzales,Rolando,BER,P,2,0,0,0,0,0.0,0.0,999,0,0,0,1,0,0,18/19,A
Ots,Rasmus,BHC,GK,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Schletterer,Jonas,HCE,RB,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Meyfarth,Fabian,GWD,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Cvetkovski,Jane,WET,GK,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Jebram,Moritz,TBV ,P,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Geis,Linus,TBV,LB,3,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,18/19,A
Jepsen,Johannes,SGF,GK,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Hoblaj,Leon,LUD,GK,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Srsen,Domagoj,HAN,P,34,0,0,0,0,0.0,8.0,1,4,7,8,9,0,0,18/19,A
Seidler,Oliver,LEI,P,4, 0 ,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Weber,Ian,WET,CB,1,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,18/19,A
Strakeljahn,Simon,GWD,CB,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Danneberg,Yannick,SCM,Left Back,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Reimann,Alexander,SCM,LW,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Loser,Timo,LEI,LB,9,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Maidl,Lorenz,HCE,LW,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Harnacke,Philipp,TBV,LB,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Juric,Petar,HAN,,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Genty,Bastien,BER,RW,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Adanir,Can,RNL,GK,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Baumgart,Luka,SCM,CB,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Piroch,Tomas,MTM,,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Gruber,Jona,MTM,CB,3,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,18/19,A
Damm,Julian,MTM,P,3,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Foege,Luis Plymford,TVB,RB,10,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,18/19,A
Jannes,Louis,TBV ,GK,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Meyer-Siebert,Julius,LEI,LB,6,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,18/19,A
Neumann,Nicolas,LEI,LW,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Ahouansou,Philipp,RNL,LB,1,0,0,0,0,0.0,0.0,999,0,0,0,0,0,0,18/19,A
Wernlein,Felix,HAN,GK,1,0,0,0,0,0.0,,0,0,0,0,0,0,0,18/19,A
Kiesler,Tom,GUM,LB,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Wissmann,Yannick,TVB,,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Grabenstein,Leon,GWD,GK,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,18/19,A
Elisson,Bjarki Mar,TBV,LW,27, 216 ,71,144,72,0.7526,2.0,8,9,1,1,8,0,0,19/20,A
Lindberg,Hans,BER,RW,27,203,52,99,104,0.7961,17.0,10,4,0,0,3,0,0,19/20,A
Damgaard,Michael,SCM,LB,27,166,150,166,0,0.5253,62.0,33,0,0,1,2,0,0,19/20,A
Weber,Robert,NOL,RW,27,164,71,106,58,0.6979000000000001,11.0,12,15,1,2,5,0,0,19/20,A
Ekberg,Niclas,THW,RW,26,164.0,37,60,104,0.8159000000000001,7.0,3,13,0,1,1,0,0,19/20,A
Schiller,Marcel,FAG,LW,-25,157,67,85,72,0.7009000000000001,11.0,999,11,1,4,4,0,0,19/20,A
Zieker,Patrick,TVB,,27,144,50,99,45,0.7423000000000001,8.0,14,13,1,2,4,0,0,19/20,A
Kastening,Timo,HAN,,27,144,56,94,50,0.72,7.0,999,13,0,1,1,0,0,19/20,A
Gensheimer,Uwe,RNL,LW,22,134,43,75,59,0.7570999999999999,6.0,5,6,0,0,7,0,0,19/20,A
Boomhouwer,Jeffrey,BHC,LW,27,131,48,87,44,0.7318000000000001,8.0,999,5,1,3,4,0,0,19/20,A
Hafner,Kai,MTM,RB,25,125,105,125,0,0.5435,85.0,34,2,3,4,7,0,0,19/20,A
Rambo,Christoffer,GWD,RB,25,125,115,117,8,0.5207999999999999,58.0,35,18,5,8,14,1,0,19/20,A
Olsen,Morten,HAN,CB,25,119,89,98,21,0.5721,74.0,39,0,0,1,0,0,0,19/20,A
Schmid,Andy,RNL,CB,25,117,114,96,21,0.5065,96.0,36,3,0,2,1,0,0,19/20,A
Sellin,Johannes,HCE,RW,27,113,44,81,32,0.7197,10.0,14,7,0,1,5,0,0,19/20,A
Carlsbogard,Jonathan,TBV,LB,-24,111.0,84,111,0,0.5692,103.0,22,4,8,4,6,0,0,19/20,A
Michalczik,Marian,GWD,LB,24,111,77,70,41,0.5904,64.0,29,4,3,7,10,0,0,19/20,A
Ivic,Sime,HCE,RB,27,111,76,110,1,0.5936,,999,1,1,3,15,1,0,19/20,A
Kohlbacher,Jannik,RNL,P,26,110,27,110,0,0.8029000000000001,7.0,30,3,2,3,6,0,0,19/20,A
Sogard,Goran,SGF,Left Back,27,110,89,110,0,0.5528,48.0,32,6,3,5,4,0,0,19/20,A
Holst,Maximilian,WET,LW,27,107,40,27,80,0.7279000000000001,7.0,5,1,0,2,0,0,0,19/20,A
Kuhn,Julius,MTM,LB,26,107,103,107,0,0.5095000000000001,53.0,42,8,5,8,12,0,0,19/20,A
Lipovina,Vladan,HBW,RB,25,107,104,107,0,0.5071,37.0,999,3,0,6,4,0,0,19/20,A
Muller,Jerome,LUD,,27,107,87,107,0,0.5515,51.0,28,4,1,5,5,1,0,19/20,A
Gretarsson,Oddur,HBW,LW,26, 106 ,29,56,50,0.7852,9.0,4,6,1,2,5,0,0,19/20,A
Hornke,Tim,SCM,RW,26,102,47,35,67,0.6846,2.0,4,5,0,4,3,0,0,19/20,A
Gottfridsson,Jim,SGF,CB,27,101,62,82,19,0.6196,67.0,36,5,1,0,7,0,0,19/20,A
Semper,Franz,LEI,RB,22,100.0,65,100,0,0.6061,44.0,26,4,1,4,4,0,0,19/20,A
Weber,Philipp,LEI,CB,25,98,75,89,9,0.5665,57.0,35,4,3,1,8,0,0,19/20,A
Cavor,Stefan,WET,RB,27,98,92,98,0,0.5158,55.0,24,5,5,5,4,0,0,19/20,A
Bjornsen,Kristian,WET,RW,27,97,27,97,0,0.7823,14.0,3,2,2,3,1,0,0,19/20,A
Gulliksen,Kevin Maageroe,GWD,RW,26,96,36,95,1,0.7273000000000001,12.0,6,14,1,3,4,0,0,19/20,A
Mickal,Pavel,NOL,LW,27,93,46,85,8,0.6690999999999999,6.0,9,5,1,2,2,0,0,19/20,A
Musche,Matthias,SCM,LW,27,92,40,79,13,0.6970000000000001,8.0,5,7,0,1,2,0,0,19/20,A
Lindskog,Anton,WET,P,25,92,26,92,0,0.7797,21.0,15,2,22,15,17,1,0,19/20,A
Binder,Lukas,LEI,LW,26,90,30,90,0,0.75,14.0,10,9,0,2,2,0,0,19/20,A
Reinkind,Harald,THW,RB,26,89,70,89,0,0.5597,30.0,19,2,5,3,6,0,0,19/20,A
Bohm,Fabian,HAN,LB,27,88,60,88,0,0.5946,41.0,29,0,4,8,14,1,0,19/20,A
Schmidt,David,TVB,RB,17,88,74,88,0,0.5432,23.0,12,0,1,4,8,0,0,19/20,A
Kozina,Kresimir,FAG,P,26,88,23,81,7,0.7928000000000001,11.0,22,2,5,8,16,0,0,19/20,A
Rod,Magnus,SGF,RB,20,88,52,87,1,0.6286,37.0,22,1,8,6,9,0,0,19/20,A
Drux,Paul,BER ,LB,23,87,47,87,0,0.6493000000000001,39.0,20,4,9,8,11,0,0,19/20,A
Forsell Schefvert,Olle,WET,LB,27,87,58,87,0,0.6,62.0,34,6,11,12,14,0,0,19/20,A
Golla,Johannes,SGF,P,27,86,23,86,0,0.789,11.0,7,8,22,13,18,0,0,19/20,A
Mikkelsen,Lasse Reinhold,MTM,CB,24,86,56,50,36,0.6056,45.0,13,2,2,3,6,0,0,19/20,A
Schoch,Jona,HBW,LB,27,84,67,84,0,0.5563,44.0,24,0,8,8,13,0,0,19/20,A
Krzikalla,Lucas,LEI,RW,25,84,28,26,58,0.75,4.0,3,3,0,1,3,0,0,19/20,A
Cederholm,Andreas,TBV,,27,83,79,83,0,0.5123,61.0,999,1,2,3,7,0,0,19/20,A
Gunnarsson,Arnor Thor,BHC,RW,24,82,42,47,35,0.6613,6.0,4,5,1,3,1,1,0,19/20,A
Pettersson,Daniel,SCM ,RW,27,82,33,62,20,0.713,4.0,5,1,1,1,0,0,0,19/20,A
Niemeyer,Marcel,HBW,P,27,81,33,81,0,0.7105,4.0,17,2,12,13,16,0,0,19/20,A
Bilyk,Nikola,THW,LB,23,80,59,80,0,0.5755,36.0,16,6,5,7,3,0,0,19/20,A
Kneule,Tim,FAG,,26,78,64,78,0,0.5493,63.0,25,5,5,6,14,1,0,19/20,A
Pohle,Georg,NOL ,LB,27,76,112,68,8,0.4043,48.0,42,6,9,11,13,1,0,19/20,A
Schagen,Bobby,TBV,rw,27, 75 ,31,65,10,0.7075,,3,14,0,1,3,0,0,19/20,A
Gutbrod,Fabian,BHC,LB,25,75,72,75,0,0.5102,8.0,13,1,1,2,1,0,0,19/20,A
Pekeler,Hendrik,THW,P,26,75.0,19,75,0,0.7979,15.0,5,11,16,8,17,1,0,19/20,A
Wiesmach,Patrick,LEI,RW,24,75.0,25,61,14,0.75,6.0,3,7,0,3,2,0,0,19/20,A
Holm,Jacob,BER,CB,24,74,57,72,2,0.5649000000000001,41.0,999,5,0,2,5,0,0,19/20,A
Maric,Marino,MTM,P,26,73,22,73,0,0.7684000000000001,8.0,13,9,10,12,13,0,0,19/20,A
Lonn,Adam,TVB ,LB,23,73,67,73,0,0.5214,35.0,24,7,11,8,21,1,0,19/20,A
Darj,Max,BHC,P,27,72,30,72,0,0.7059000000000001,16.0,21,10,12,14,16,0,0,19/20,A
Marsenic,Mijajlo,BER,,25,72,23,72,0,0.7579,4.0,13,1,13,15,19,2,0,19/20,A
Cehte,Nejc,HAN,RB,27,72,56,72,0,0.5625,45.0,36,5,4,8,12,0,0,19/20,A
Budel,Nico,HCE,CB,27,70,69,70,0,0.5036,32.0,27,4,0,9,13,1,0,19/20,A
Steinhauser,Marius,SGF,RW,27,70,27,40,30,1.57,3.0,3,3,0,1,1,0,0,19/20,A
